City,Famous_Places
Mumbai,"Gateway of India, Marine Drive, Chhatrapati Shivaji Terminus,Adlabs Imagicaa, Lohagad Fort"
Delhi,"India Gate, Red Fort, Qutub Minar, India Gate,Lotus Temple"
Bangalore,"Cubbon Park, Lalbagh Botanical Garden, Bangalore Palace,Krishna Rajendra (KR) Market,Lalbagh Botanical Garden"
Kolkata,"Victoria Memorial, Howrah Bridge, Dakshineswar Kali Temple,Dakshineswar Kali Temple,  Park Street"
Chennai,"Marina Beach, Kapaleeshwarar Temple, San Thome Basilica, Elliot’s Beach,Thousand Lights Mosque"
Hyderabad,"Charminar, Golkonda Fort, Ramoji Film City,Salar Jung Museum,Hussain Sagar Lake,"
Jaipur,"Haw Mahal, Amber Fort, City Palace,Jaigarh Fort, City Palace"
Agra,"Taj Mahal, Agra Fort, Fatehpur Sikri, Subhash Emporium,Mehtab Bagh"
Varanasi,"Varanasi Ghats, Kashi Vishwanath Temple, Sarnath,Bharat Mata Temple, Durga Temple"
Goa,"Calangute Beach, Fort Aguada, Basilica of Bom Jesus,,Calangute Beach,Dudhsagar Falls and Spice Plantation"
Ooty,"Ooty Rose Garden,Emerald Lake,Ooty Lake,Nilgiri Mountain Railway,Ooty Botanical Gardens"
Mahabaleshvar,"Elephant’s Head Point,Lingamala Falls,Pratapgad,Mapro Garden,Venna Lake"
Pune,"Aga Khan Palace,Shaniwar Wada,Sinhagad Fort,Osho Ashram,Pataleshwar Cave Temple"
Ahmedabad,"Sabarmati Ashram,Adalaj Stepwell,Kankaria Lake,Jama Masjid,Sabarmati Riverfront"
Surat,"Dumas Beach,Jagdishchandra Bose Aquarium,Sardar Patel Museum,Suvali Beach,Dutch Garden"
